,name,addr1,addr2,tel,urls
27,아펠가모 선릉점,서울 강남구 테헤란로 322 한신인터밸리24빌딩 4층,(지번) 역삼동 707-34,02-2183-0230,http://www.apelgamo.com
28,상록아트홀,서울 강남구 언주로 508 상록회관 5층,(지번) 역삼동 701,02-564-5757,http://srwedding.co.kr/
29,라움아트센터,서울 강남구 언주로 564,(지번) 역삼동 680-1,02-538-3366,https://www.theraum.co.kr/
30,라온제나 강남,서울 강남구 학동로47길 5,(지번) 논현동 117-7,,http://라온제나강남.com
31,더그레이스,서울 강남구 선릉로 521 영신빌딩,(지번) 역삼동 696-39,02-550-5402,#none
32,더채플앳청담,서울 강남구 선릉로 757 6층,(지번) 논현동 94-9,02-421-1121,http://www.thechapel.co.kr
33,마리드블랑,서울 강남구 언주로 517,(지번) 역삼동 675-3,,http://mblanc.co.kr
34,빌라드지디 강남,서울 강남구 언주로126길 23,(지번) 논현동 247-4,02-547-3381,http://www.gangnamvilladegd.com/
35,더클래스 청담,서울 강남구 압구정로60길 17-5 1층,(지번) 청담동 82-4,02-516-3636,http://www.theclasscheongdam.com/
36,벨라비타컨벤션,서울 강남구 봉은사로 302,(지번) 역삼동 680,02-564-7031,https://www.bellavitawed.com
37,더라움웨딩홀,"서울 강남구 언주로 564 3,4층",(지번) 역삼동 680-1,02-538-3366,https://www.theraum.co.kr
38,마리아쥬스퀘어,서울 강남구 도산대로 318 SB타워 G층,(지번) 논현동 92,02-541-5007,http://www.mariagesquare.com
39,셀럽앤어셈,"서울 강남구 언주로 711 건설회관 본관 2층,지하1층, 별관 1,2층",(지번) 논현동 71-2,02-545-2222,http://www.fs-cna.com
40,더채플앳논현,서울 강남구 논현로 549 5층 라메르홀,(지번) 역삼동 607-21,02-562-1121,http://www.thechapel.co.kr/
41,에스오에스웨딩,"서울 강남구 도산대로 506 재정빌딩 302호,402호",(지번) 청담동 48-2,,http://www.sosweddinghall.com
42,컨벤션헤리츠,서울 강남구 논현로 662,(지번) 논현동 215,02-536-4000,http://www.heritz.co.kr
43,아모리스 역삼GS타워점,서울 강남구 논현로 508 GS타워 1층,(지번) 역삼동 679-1,02-2005-1010,http://www.amoris.co.kr/
44,루카511웨딩,서울 강남구 도산대로81길 40,(지번) 청담동 115-16,02-6083-8522,https://luka511.modoo.at/
45,VIP웨딩홀,서울 강남구 도산대로56길 3,(지번) 청담동 2-1,,#none
46,엘리에나호텔 웨딩홀,서울 강남구 논현로 645,(지번) 논현동 152,02-3443-5670,http://elienahotel.com/
47,유모멘트,서울 강남구 선릉로145길 11 일신빌딩 2층,(지번) 논현동 99-32,,http://www.thechapel.co.kr
48,SD웨딩타워,서울 성동구 뚝섬로 447,(지번) 성수동2가 231-1,,#none
49,마리나문화예식장,서울 광진구 자양동 427-7,,02-454-7330,#none
50,더채플앳논현 라포레홀,서울 강남구 논현로 549 6층,(지번) 역삼동 607-21,,#none
51,웨딩파티,서울 송파구 올림픽로12길 52-14,(지번) 잠실동 215-8,02-424-9007,#none
52,KU컨벤션웨딩홀,서울 광진구 아차산로36길 5,(지번) 자양동 227-336,02-447-7005,http://kkweddinghall.co.kr/
53,(주)앤브이홀딩스,서울 강남구 학동로47길 28,(지번) 논현동 109-2,,#none
54,온즈드롬크리에이티브,서울 강남구 언주로148길 5,(지번) 논현동 97-22,,#none
55,슈슈몽드,서울 강남구 도산대로38길 30 1층,(지번) 논현동 72-7,031-8027-0055,https://www.chouchoumonde.co.kr/
56,역삼동안녹아트흘,서울 강남구 언주로 508,(지번) 역삼동 701,02-560-2222,#none
57,상트아트홀,서울 강남구 언주로 508,(지번) 역삼동 701,02-562-7887,#none
58,토브헤세드,서울 강남구 도산대로38길 32,(지번) 논현동 72-8,02-516-2300,http://www.tovhesed.com
59,가자웨딩홀,서울 강남구 언주로85길 13,(지번) 역삼동 722,02-562-1141,#none
60,더클래식500 웨딩홀,서울 광진구 능동로 90,(지번) 자양동 227-342,02-2218-5300,http://www.theclassic500.com
61,벨라 청담,서울 강남구 압구정로46길 35 지하 1층,(지번) 신사동 642-20,02-540-8888,#none
62,삼정호텔 아도니스홀,서울 강남구 봉은사로 150,(지번) 역삼동 604-7,02-557-0292,#none
63,까사그랑데 센트로,서울 광진구 능동로 87 건대입구역자이엘라 6층,(지번) 자양동 2-2,02-467-1002,http://www.casagrande.co.kr
64,군인공제회컨벤션센터,서울 강남구 남부순환로 2806,(지번) 도곡동 467-12,02-2190-2503,#none
65,아넬로,서울 강남구 논현로 662,(지번) 논현동 215,02-536-4000,http://www.heritz.co.kr/
66,이내유,서울 강남구 도산대로38길 30,(지번) 논현동 72-7,,#none
67,센트레톡&카페톡,서울 강남구 역삼로25길 35 케이큐브 타워 m층,(지번) 역삼동 726-2,070-5030-3378,https://en-gb.facebook.com/centretalk
68,삼정호텔 킹홀,서울 강남구 봉은사로 150 2층,(지번) 역삼동 604-11,02-557-1221,#none
69,월드브라이들,서울 강남구 압구정로42길 11,(지번) 신사동 640,02-546-8046,http://blog.naver.com/worldbridal
70,삼정호텔 라벤더홀,서울 강남구 봉은사로 150 2층,(지번) 역삼동 604-11,02-557-0292,#none
71,리더스나인 강남점,서울 강남구 남부순환로 2806 군인공제회관,(지번) 도곡동 467-12,02-2190-2222,http://www.ibncclub.com
72,비본웨딩,서울 강남구 논현로168길 36 안국빌딩 3층,(지번) 신사동 595-1,,http://cafe.naver.com/wedclub
73,공우이엔씨 웨딩,서울 강남구 남부순환로 2806 군인공제회관 3~4층,(지번) 도곡동 467-12,02-2190-2271,#none
74,EK타워 더휴웨딩홀 주차장,서울 강남구 삼성동 141-31,,,#none
