,name,addr1,addr2,tel,urls
23,빌라드지디 강남,서울 강남구 언주로126길 23,(지번) 논현동 247-4,02-547-3381,http://www.gangnamvilladegd.com/
24,(주)앤브이홀딩스,서울 강남구 학동로47길 28,(지번) 논현동 109-2,,#none
25,VIP웨딩홀,서울 강남구 도산대로56길 3,(지번) 청담동 2-1,,#none
26,더클래스 청담,서울 강남구 압구정로60길 17-5 1층,(지번) 청담동 82-4,02-516-3636,http://www.theclasscheongdam.com/
27,더청담,서울 강남구 도산대로 434,(지번) 청담동 4,02-518-8001,http://www.thecheongdam.com
28,한남웨딩부페프라자,서울 용산구 독서당로 23,(지번) 한남동 110-1,,#none
29,라움아트센터,서울 강남구 언주로 564,(지번) 역삼동 680-1,02-538-3366,https://www.theraum.co.kr/
30,더채플앳논현,서울 강남구 논현로 549 5층 라메르홀,(지번) 역삼동 607-21,02-562-1121,http://www.thechapel.co.kr/
31,메리스에이프럴,서울 강남구 봉은사로16길 31,(지번) 역삼동 614-7,02-514-3676,http://www.marysapril.co.kr
32,벨라비타컨벤션,서울 강남구 봉은사로 302,(지번) 역삼동 680,02-564-7031,https://www.bellavitawed.com
33,더라움웨딩홀,"서울 강남구 언주로 564 3,4층",(지번) 역삼동 680-1,02-538-3366,https://www.theraum.co.kr
34,삼정호텔 아도니스홀,서울 강남구 봉은사로 150,(지번) 역삼동 604-7,02-557-0292,#none
35,더채플앳논현 라포레홀,서울 강남구 논현로 549 6층,(지번) 역삼동 607-21,,#none
36,브라이튼하우스,"서울 용산구 장문로9길 11 A동 1,2층",(지번) 동빙고동 1-37,02-794-8005,http://www.brightenhouse-hannam.com
37,마리드블랑,서울 강남구 언주로 517,(지번) 역삼동 675-3,,http://mblanc.co.kr
38,아모르하우스,서울 강남구 테헤란로13길 33,(지번) 역삼동 633-31,02-562-6936,http://www.amorehouse.co.kr
39,SC컨벤션센터,서울 강남구 테헤란로7길 22 한국과학기술회관 1관,(지번) 역삼동 635-2,02-569-7600,http://www.scconvention.co.kr/gangnam
40,상록아트홀,서울 강남구 언주로 508 상록회관 5층,(지번) 역삼동 701,02-564-5757,http://srwedding.co.kr/
41,삼정호텔 킹홀,서울 강남구 봉은사로 150 2층,(지번) 역삼동 604-11,02-557-1221,#none
42,아모리스 역삼GS타워점,서울 강남구 논현로 508 GS타워 1층,(지번) 역삼동 679-1,02-2005-1010,http://www.amoris.co.kr/
43,삼정호텔 라벤더홀,서울 강남구 봉은사로 150 2층,(지번) 역삼동 604-11,02-557-0292,#none
44,루카511웨딩,서울 강남구 도산대로81길 40,(지번) 청담동 115-16,02-6083-8522,https://luka511.modoo.at/
45,틸티드 한남,서울 용산구 한남대로 150-10,(지번) 한남동 726-419,02-790-3083,https://instagram.com/tilted_hannam_
46,빌라드지디 청담,서울 강남구 학동로 519,(지번) 청담동 73-4,02-542-7513,#none
47,드레스가든,서울 강남구 영동대로 707,(지번) 청담동 71-8,02-512-1000,http://www.dressgarden.co.kr
48,에스오에스웨딩,"서울 강남구 도산대로 506 재정빌딩 302호,402호",(지번) 청담동 48-2,,http://www.sosweddinghall.com
49,전국예식장경영자총연합회,서울 강남구 봉은사로 121 3층,(지번) 논현동 202-11,,#none
50,보테가마지오,서울 성동구 서울숲2길 32-14 갤러리아포레 지하2층,(지번) 성수동1가 685-696,02-3409-0123,http://www.bottegamaggio.co.kr/
51,더발렌티,서울 강남구 영동대로 728,(지번) 청담동 131-16,02-512-7897(팩스),http://thevalenti.kr
52,호텔리베라 웨딩홀,서울 강남구 영동대로 737,(지번) 청담동 53-7,,#none
53,프리마웨딩,서울 강남구 도산대로 536,(지번) 청담동 52-3,02-6006-9201,http://www.prima.co.kr/2005/wedding/wedding_main.asp
54,웨딩순,서울 강남구 선릉로 578,(지번) 삼성동 112,,#none
55,스카이시티컨벤션센터,서울 강남구 테헤란로7길 22,(지번) 역삼동 635-2,02-2064-3333,#none
56,JW 메리어트호텔 서울 그랜드볼룸,서울 서초구 신반포로 176 5층,(지번) 반포동 19-3,02-6282-6262,https://www.marriott.co.kr/hotels/travel/seljw-jw-marriott-hotel-seoul/
57,플로팅아일랜드,서울 서초구 올림픽대로 2085-14 세빛둥둥섬,(지번) 반포동 650,02-537-2440,http://www.ficonvention.com
58,아파트먼트99,서울 강남구 봉은사로68길 35-3,(지번) 삼성동 123-22,02-557-5456,http://apartment99.co.kr
59,가빛섬 빌라드노체,서울 서초구 올림픽대로 2085-14 2층,(지번) 반포동 650,,http://www.somesevit.co.kr/kr/business/gavit/introduce.do
60,그랜드하얏트서울 리젠시룸,서울 용산구 소월로 322,(지번) 한남동 747-7,,#none
61,더그레이스,서울 강남구 선릉로 521 영신빌딩,(지번) 역삼동 696-39,02-550-5402,#none
62,성동구웨딩홀,서울 성동구 서울숲2길 32-14,(지번) 성수동1가 685-696,,#none
63,에이치케이웨딩,서울 강남구 학동로 519,(지번) 청담동 73-4,02-542-7513,#none
64,역삼동안녹아트흘,서울 강남구 언주로 508,(지번) 역삼동 701,02-560-2222,#none
65,상트아트홀,서울 강남구 언주로 508,(지번) 역삼동 701,02-562-7887,#none
66,웨딩홀예스,서울 강남구 도산대로16길 15 용헌회관 6층,(지번) 논현동 10-12,02-541-5604,http://blog.naver.com/weddinghallyes
67,KM파크 헤리츠웨딩홀 주차장,서울 강남구 논현로 662,(지번) 논현동 215,,#none
68,IBK기업은행365 수아비스웨딩홀,서울 강남구 신사동 667,,,#none
69,더 리버사이드 호텔,서울 서초구 강남대로107길 6,(지번) 잠원동 6-1,02-6710-1100,http://www.riversidehotel.co.kr/
70,웨디,서울 강남구 도산대로38길 14 401호,(지번) 논현동 64-24,02-548-8584,https://weddy.kr
71,디자인웨딩,서울 강남구 도산대로 326 대동타워 8층,(지번) 논현동 93,02-548-9922,https://designwedding.net
72,연회장 노보텔앰배서더강남,서울 강남구 봉은사로 130,(지번) 역삼동 603,02-531-6622,#none
73,바로웨드,서울 강남구 삼성로 709 명보빌딩 5층,(지번) 청담동 47-2,02-3470-3600,https://www.instagram.com/barrowed_official/
